source_name,source_group,source_type,current_status,auth_required,refresh_mode,api_or_download,geography_base,typical_periodicity,current_app_usage,source_url,docs_url,notes
Department for Transport Road Traffic Statistics API,Next-wave API / download source,api,live_in_app,No,Repeatable API pull,REST API,Traffic count points and associated annual traffic statistics,Annual,Live neighbourhood indicator source,https://roadtraffic.dft.gov.uk/,https://roadtraffic.dft.gov.uk/,DfT road traffic API is now live in the app for an advanced sampled traffic-flow context measure based on London count points and link lengths.
DfE Explore Education Statistics API,Next-wave API / download source,api,catalogued_only,No,Repeatable API pull,Dataset API / content API,"Publication-specific; often school, ward, or local authority",Release-specific,Not live in app,https://explore-education-statistics.service.gov.uk/,https://explore-education-statistics.service.gov.uk/data-catalogue,Useful only where geography is resident-meaningful or at least ward/local-authority benchmark level; school-only outputs should stay out of the core neighbourhood explorer.
Environment Agency Flood Monitoring API,Next-wave API / download source,api,live_in_app,No,Repeatable API pull,REST API,"Flood areas, stations, and measures",Mixed real-time and reference,Live neighbourhood indicator source,https://environment.data.gov.uk/flood-monitoring/doc/reference,https://environment.data.gov.uk/flood-monitoring/doc/reference,"Environment Agency flood-area polygons are now live in the app as a contextual neighbourhood flood-overlap share, with careful caveats."
Indices of Deprivation 2025,Current live source,static_file,live_in_app,No,Manual file ingest,Downloaded CSV,LSOA 2021,Release-based snapshot,Live neighbourhood indicator source,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,Ranks and deciles are treated as non-additive display summaries.
London Air API,Next-wave API / download source,api,catalogued_only,No,Repeatable API pull,REST API,Monitoring sites and forecast areas,Daily to hourly,Not live in app,https://www.londonair.org.uk/,https://api.erg.ic.ac.uk/,"Strong thematic fit for air-quality context, but station-based data is usually better as benchmark or contextual evidence than as a direct neighbourhood estimate; probe endpoint currently returning 503."
London Datastore CKAN API,Existing catalogued API source,api,live_in_app,No,Repeatable ETL discovery or ingest,API / service,Partial,Dataset-specific and highly variable,Live neighbourhood housing and fuel-poverty indicators,https://data.london.gov.uk/,https://data.london.gov.uk/,"London Datastore is now live in the app for LSOA-backed housing-quality, housing-market, and fuel-poverty context indicators, while ward-only, borough-only, duplicate, and non-LSOA spatial datasets remain catalogued only."
NHS England Patients Registered at a GP Practice,Next-wave API / download source,download_api,live_in_app,No,Repeatable ETL download,Publication download,LSOA 2021 quarterly outputs plus GP practice / ICB levels,Monthly publication; LSOA quarterly,Live neighbourhood indicator source,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice/data-quality-statement,Strong neighbourhood-health context source because official LSOA 2021 files can be downloaded and aggregated directly; key caveat is registered population is not the same as resident population.
NHS England Quality and Outcomes Framework,Existing catalogued download source,download + derived allocation,live_in_app,No,Refresh local QOF files and rebuild QOF LSOA allocations,Published CSV download + NHS GP registration support files,GP practice source data allocated to LSOA 2021 via practice-to-LSOA registrations,Annual,Live neighbourhood QOF prevalence with grouped advanced condition drill-down indicators and annual trend views where history exists,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,The app uses supplied QOF raw files for 2021/22 to 2024/25 plus year-matched GP practice registration support files and Census-based age structure to derive neighbourhood-estimated LSOA indicators across all supported measure families.
NHS ODS / ORD API,Existing catalogued API source,api,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,No,Overnight / daily for core organisation updates,Candidate source only,https://digital.nhs.uk/services/organisation-data-service/organisation-data-service-apis/choosing-an-organisation-data-service-api,https://digital.nhs.uk/services/organisation-data-service/organisation-data-service-apis/choosing-an-organisation-data-service-api,Neighbourhood suitability in source discovery: Phase 2.
NHSBSA Open Data Portal API,Existing catalogued API source,api,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,Mostly no,Dataset-specific and variable,Candidate source only,https://opendata.nhsbsa.net/,https://opendata.nhsbsa.net/,Neighbourhood suitability in source discovery: Phase 2.
NaPTAN / NPTG API,Next-wave API / download source,api,live_in_app,No,Repeatable API pull,REST API,National transport access nodes and gazetteer localities,Reference data refresh,Live neighbourhood indicator source,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,NaPTAN access-node API is now live in the app for neighbourhood transport-access counts and density.
Nomis API,Existing catalogued API source,api,live_in_app,No,Repeatable ETL discovery or ingest,API / service,Yes,"Dataset-specific; Census 2021 tables are stable, labour market datasets refresh on their own schedules","Live in app for selected LSOA Census indicators, including population, housing, skills, work, ethnicity and health measures via repeatable Nomis API fetches",https://www.nomisweb.co.uk/api,https://www.nomisweb.co.uk/api,Neighbourhood suitability in source discovery: Core. Now live for selected LSOA Census indicators at LSOA level; MSOA indicators remain excluded from the public app.
OHID Fingertips API,Existing catalogued API source,api,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,Partial,Varies by profile and indicator release cycle,Metadata discovery and future catalogue only,https://fingertips.phe.org.uk/profile/guidance,https://fingertips.phe.org.uk/profile/guidance,Neighbourhood suitability in source discovery: Selective.
ONS API,Existing catalogued API source,api,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,Partial,"Dataset-specific, often monthly to annual depending on series",Candidate benchmark/context source; not live at runtime,https://developer.ons.gov.uk/,https://developer.ons.gov.uk/,Neighbourhood suitability in source discovery: Selective.
ONS Census 2021,Current live source,static_file,live_in_app,No,Manual file ingest,Downloaded CSV,LSOA 2021,Decennial snapshot,Live neighbourhood indicator source,https://www.ons.gov.uk/census,https://www.nomisweb.co.uk/api,Current app uses local Census extracts processed to neighbourhood level.
ONS Open Geography,Existing catalogued API source,lookup_service,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,Yes,Geography-release dependent; updates when official boundary and lookup products refresh,Geography infrastructure source,https://www.ons.gov.uk/methodology/geography/geographicalproducts/opengeography,https://www.ons.gov.uk/methodology/geography/geographicalproducts/opengeography,Neighbourhood suitability in source discovery: Infrastructure.
OpenDataCommunities EPC API,Next-wave API / download source,api,catalogued_only,Yes,Credentialed API pull,REST API,Certificate-level address data,Rolling as certificates are lodged,Not live in app,https://epc.opendatacommunities.org/,https://epc.opendatacommunities.org/docs/api,"Useful for housing-energy context, but the live API is protected and raw certificate records need careful aggregation before public display."
TfL Unified API,Next-wave API / download source,api,live_in_app,No,Repeatable API pull,REST API,"Point features, corridor features, and network metadata",Mixed real-time and reference,Live neighbourhood indicator source,https://api.tfl.gov.uk/,https://api.tfl.gov.uk/,"TfL BikePoint API is now live in the app for cycle-hire station counts, densities, and dock-capacity context measures."
data.police.uk API,Existing catalogued API source,api,catalogued_only,No,Repeatable ETL discovery or ingest,API / service,Yes,Monthly,Repeatable route behind current downloaded crime data,https://data.police.uk/docs/,https://data.police.uk/docs/,Neighbourhood suitability in source discovery: Core.
data.police.uk street-level crime,Current live source,downloaded_api_extract,live_in_app,No,Periodic ETL refresh,Monthly bulk download,Crime event with LSOA code,Monthly,Live neighbourhood indicator source,https://data.police.uk/docs/,https://data.police.uk/docs/,Current app uses downloaded monthly London street-crime files and recomputes neighbourhood rates.
